science,"Plans exist for future case studies focusing on various
space systems, additional aircraft programs, munitions programs, joint service programs,
logistics-led programs, science and technology/laboratory efforts, and a variety of commercial
systems."
case,"Each of the case studies comprises elements of success as
well as examples of systems engineering decisions that, in hindsight, were not optimal."
engineering,"These cases support practitioners of systems engineering and are also used in the
academic instruction in systems engineering within military service academies and at both
civilian and military graduate schools."
instruction,"These cases support practitioners of systems engineering and are also used in the
academic instruction in systems engineering within military service academies and at both
civilian and military graduate schools."
munitions,"Plans exist for future case studies focusing on various
space systems, additional aircraft programs, munitions programs, joint service programs,
logistics-led programs, science and technology/laboratory efforts, and a variety of commercial
systems."
decisions,"Each of the case studies comprises elements of success as
well as examples of systems engineering decisions that, in hindsight, were not optimal."
case,"Plans exist for future case studies focusing on various
space systems, additional aircraft programs, munitions programs, joint service programs,
logistics-led programs, science and technology/laboratory efforts, and a variety of commercial
systems."
hindsight,"Each of the case studies comprises elements of success as
well as examples of systems engineering decisions that, in hindsight, were not optimal."
examples,"Each of the case studies comprises elements of success as
well as examples of systems engineering decisions that, in hindsight, were not optimal."
service,"These cases support practitioners of systems engineering and are also used in the
academic instruction in systems engineering within military service academies and at both
civilian and military graduate schools."
examples,"Both
types of examples are useful for learning."
systems,"Each of the case studies comprises elements of success as
well as examples of systems engineering decisions that, in hindsight, were not optimal."
success,"Each of the case studies comprises elements of success as
well as examples of systems engineering decisions that, in hindsight, were not optimal."
graduate,"These cases support practitioners of systems engineering and are also used in the
academic instruction in systems engineering within military service academies and at both
civilian and military graduate schools."
systems,"Plans exist for future case studies focusing on various
space systems, additional aircraft programs, munitions programs, joint service programs,
logistics-led programs, science and technology/laboratory efforts, and a variety of commercial
systems."
studies,"Each of the case studies comprises elements of success as
well as examples of systems engineering decisions that, in hindsight, were not optimal."
types,"Both
types of examples are useful for learning."
studies,"Plans exist for future case studies focusing on various
space systems, additional aircraft programs, munitions programs, joint service programs,
logistics-led programs, science and technology/laboratory efforts, and a variety of commercial
systems."
cases,"These cases support practitioners of systems engineering and are also used in the
academic instruction in systems engineering within military service academies and at both
civilian and military graduate schools."
schools,"These cases support practitioners of systems engineering and are also used in the
academic instruction in systems engineering within military service academies and at both
civilian and military graduate schools."
Plans,"Plans exist for future case studies focusing on various
space systems, additional aircraft programs, munitions programs, joint service programs,
logistics-led programs, science and technology/laboratory efforts, and a variety of commercial
systems."
engineering,"Each of the case studies comprises elements of success as
well as examples of systems engineering decisions that, in hindsight, were not optimal."
space,"Plans exist for future case studies focusing on various
space systems, additional aircraft programs, munitions programs, joint service programs,
logistics-led programs, science and technology/laboratory efforts, and a variety of commercial
systems."
systems,"These cases support practitioners of systems engineering and are also used in the
academic instruction in systems engineering within military service academies and at both
civilian and military graduate schools."
technology/laboratory,"Plans exist for future case studies focusing on various
space systems, additional aircraft programs, munitions programs, joint service programs,
logistics-led programs, science and technology/laboratory efforts, and a variety of commercial
systems."
academies,"These cases support practitioners of systems engineering and are also used in the
academic instruction in systems engineering within military service academies and at both
civilian and military graduate schools."
efforts,"Plans exist for future case studies focusing on various
space systems, additional aircraft programs, munitions programs, joint service programs,
logistics-led programs, science and technology/laboratory efforts, and a variety of commercial
systems."
practitioners,"These cases support practitioners of systems engineering and are also used in the
academic instruction in systems engineering within military service academies and at both
civilian and military graduate schools."
variety,"Plans exist for future case studies focusing on various
space systems, additional aircraft programs, munitions programs, joint service programs,
logistics-led programs, science and technology/laboratory efforts, and a variety of commercial
systems."
aircraft,"Plans exist for future case studies focusing on various
space systems, additional aircraft programs, munitions programs, joint service programs,
logistics-led programs, science and technology/laboratory efforts, and a variety of commercial
systems."
programs,"Plans exist for future case studies focusing on various
space systems, additional aircraft programs, munitions programs, joint service programs,
logistics-led programs, science and technology/laboratory efforts, and a variety of commercial
systems."
service,"Plans exist for future case studies focusing on various
space systems, additional aircraft programs, munitions programs, joint service programs,
logistics-led programs, science and technology/laboratory efforts, and a variety of commercial
systems."
elements,"Each of the case studies comprises elements of success as
well as examples of systems engineering decisions that, in hindsight, were not optimal."
